Index,LMCADY,article_count,gs_score_mean,gs_score_std,gs_magnitude_mean,gs_magnitude_std
2008-05-13,8330.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-05-14,8228.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-05-15,8418.0,9.0,0.4666666727926996,0.3391164997238367,0.47777778406937915,0.32702361475895464
2008-05-16,8566.0,2.0,-0.2500000074505805,0.07071068444068221,0.2500000074505805,0.07071068444068221
2008-05-19,8433.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-05-20,8434.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-05-21,8350.0,6.0,0.08333333581686014,0.16020820227850358,0.6666666641831397,0.46761807412602635
2008-05-22,8232.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-05-23,8301.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-05-27,8327.0,4.0,0.024999998509883756,0.37749173347419895,0.9500000178813945,0.2516611525792576
2008-05-28,8222.0,1.0,0.200000002980232,0.35594070224167423,0.8000000119209291,0.4386718148303886
2008-05-29,8001.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-05-30,8062.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-02,8060.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-03,8034.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-04,8023.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-05,7950.0,3.0,-0.100000001490116,0.30000000447034797,0.700000017881394,0.3605551349855098
2008-06-06,8129.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-09,8101.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-10,7997.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-11,8064.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-12,7989.0,1.0,0.100000001490116,0.35594070224167423,0.100000001490116,0.4386718148303886
2008-06-13,8156.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-16,8289.0,1.0,0.200000002980232,0.35594070224167423,0.5,0.4386718148303886
2008-06-17,8248.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-18,8412.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-19,8496.0,1.0,0.30000001192092896,0.35594070224167423,1.5,0.4386718148303886
2008-06-20,8600.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-23,8565.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-24,8509.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-25,8489.0,3.0,-0.03333333383003866,0.20816660304853707,0.23333333681027066,0.15275252544138446
2008-06-26,8622.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-27,8706.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-06-30,8693.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-01,8793.5,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-02,8900.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-03,8826.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-04,8650.5,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-07,8587.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-08,8365.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-09,8376.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-10,8413.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-11,8450.5,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-14,8475.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-15,8356.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-16,8315.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-17,8401.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-18,8314.0,1.0,-0.30000001192092896,0.35594070224167423,0.30000001192092896,0.4386718148303886
2008-07-21,8356.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-22,8351.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-23,8297.0,4.0,0.25000000931322575,0.10000000521540647,0.900000005960464,0.3559025816051083
2008-07-24,8127.0,0.0,-0.011834956606752055,0.35594070224167423,0.601616324946995,0.4386718148303886
2008-07-25,8184.0,2.0,0.10000000521540647,0.28284272195765986,0.20000000670552248,0.14142136361300808
